time	intensity
20.604	12555.51563
20.621	9662.597656
20.637	7025.759766
20.654	5103.89502
20.671	3791.582764
20.687	2883.04834
20.704	2339.779297
20.72	2169.65918
20.737	2320.5271
20.754	2661.186523
20.77	3095.741943
20.787	3681.035156
20.803	4580.84082
20.82	5930.902832
20.837	7539.115723
20.853	8912.398438
20.87	9650.036133
20.886	9490.084961
20.903	8509.358398
20.919	7215.390625
20.936	5889.048828
20.953	4584.15625
20.969	3515.753906
20.986	2975.584473
21.002	3126.113281
21.019	3899.748047
21.036	5139.427734
21.052	6805.685547
21.069	9046.376953
21.085	11956.52051
21.102	15010.1084
21.118	17137.26758
21.135	17623.91602
21.152	16547.69531
21.168	14330.82324
21.185	11382.06055
21.201	8265.811523
21.218	5744.890625
21.235	4178.605469
21.251	3419.65625
21.268	3151.257324
21.284	2997.517578
21.301	2737.5271
21.318	2389.954102
21.334	2154.495605
21.351	2239.967041
21.367	2603.566162
21.384	2993.939697
21.4	3151.713867
21.417	2959.811035
21.434	2578.545898
21.45	2337.663818
21.467	2352.1875
21.483	2435.268066
21.5	2450.968262
21.517	2477.029297
21.533	2522.011719
21.55	2473.808838
21.566	2368.643799
21.583	2332.561035
21.6	2359.821533
21.616	2357.124023
21.633	2289.958008
21.649	2276.802246
21.666	2378.218262
21.682	2480.506592
21.699	2575.051758
21.716	2701.272705
21.732	2673.16748
21.749	2427.448975
21.765	2258.313477
21.782	2342.303711
21.799	2520.9104
21.815	2579.031738
21.832	2472.681152
21.848	2268.13208
21.865	2086.202393
21.882	2022.387573
21.898	2052.899658
21.915	2118.26123
21.931	2198.708496
21.948	2309.875488
21.964	2471.147217
21.981	2606.200195
21.998	2532.699951
22.014	2232.628174
22.031	2010.765991
22.047	2019.032959
22.064	2033.425415
22.081	1962.315674
22.097	2003.417725
22.114	2202.525635
22.13	2373.310547
22.147	2450.082764
22.163	2491.352295
22.18	2527.198486
22.197	2580.207275
22.213	2635.870117
22.23	2700.23584
22.246	2747.86377
22.263	2633.663818
22.28	2323.554932
22.296	2027.680298
22.313	1934.611572
22.329	2025.125366
22.346	2190.800049
22.363	2363.918945
22.379	2490.526123
22.396	2556.296387
22.412	2609.594482
22.429	2580.456299
22.445	2402.233887
22.462	2253.916748
22.479	2247.033936
22.495	2326.793701
22.512	2438.576904
22.528	2492.547363
22.545	2464.4021
22.562	2469.467529
22.578	2549.280029
22.595	2638.220947
22.611	2671.260742
22.628	2567.412109
22.645	2314.572021
22.661	2043.611816
22.678	1942.243042
22.694	2089.942139
22.711	2362.227783
22.727	2523.82959
22.744	2511.779541
22.761	2439.39917
22.777	2347.126221
22.794	2259.758789
22.81	2317.97168
22.827	2563.593018
22.844	2844.274658
22.86	2991.898193
22.877	2887.071777
22.893	2598.888428
22.91	2350.589844
22.926	2228.787354
22.943	2247.359619
22.96	2433.184814
22.976	2662.016113
22.993	2754.799561
23.009	2673.972168
23.026	2500.37207
23.043	2235.413086
23.059	1733.720825
23.076	1152.41394
23.092	1062.71106
23.109	1554.351563
23.126	2047.453857
23.142	2217.884766
23.159	2273.135742
23.175	2361.517334
23.192	2386.061279
23.208	2282.731445
23.225	2024.671997
23.242	1639.933472
23.258	1437.009277
23.275	1675.789063
23.291	2129.647217
23.308	2452.618652
23.325	2508.481201
23.341	2404.95459
23.358	2368.194824
23.374	2440.162109
23.391	2492.415283
23.408	2447.247803
23.424	2381.926514
23.441	2414.467529
23.457	2474.97583
23.474	2400.154297
23.49	2215.367432
23.507	2094.670166
23.524	2163.305908
23.54	2359.544922
23.557	2542.578857
23.573	2679.556396
23.59	2725.646973
23.607	2611.614502
23.623	2396.414795
23.64	2215.715576
23.656	2185.003174
23.673	2224.503418
23.689	2177.590088
23.706	2075.500977
23.723	2031.983032
23.739	2080.781738
23.756	2163.795898
23.772	2225.441895
23.789	2291.238281
23.806	2385.542969
23.822	2444.117432
23.839	2416.628906
23.855	2331.031006
23.872	2262.01001
23.889	2280.799072
23.905	2382.745361
23.922	2513.420654
23.938	2554.638184
23.955	2443.036377
23.971	2355.984863
23.988	2451.544678
